Year,Country,Country Code,"Life expectancy at birth, total (years)",Electric power consumption (kWh per capita),Gross capital formation (% of GDP),Exports of goods and services (% of GDP),Poverty headcount ratio at national poverty lines (% of population),"Primary completion rate, total (% of relevant age group)","School enrollment, preprimary (% gross)",Income share held by lowest 20%,GDP growth (annual %),Imports of goods and services (% of GDP),High-technology exports (% of manufactured exports),Domestic credit provided by financial sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Mobile cellular subscriptions (per 100 people),Energy use (kg of oil equivalent per capita)
2010,Turkiye,TUR,74.964,2463.859758,26.75251408,21.19413332,16.1,..,25.45541,5.9,8.427104323,25.50033191,2.194824352,67.60052022,1.171091807,84.2159,1445.410164
2010,United Kingdom,GBR,80.40243902,5712.741211,16.17621552,28.85674267,..,..,81.7593689,7.6,2.233315088,30.4160323,23.30365863,..,2.68497359,121.781,3235.053838
2010,United States,USA,78.54146341,13392.69101,18.67221354,12.34135543,..,..,..,5.4,2.695192582,15.87852751,22.61947752,218.0253319,1.754531921,91.6593,7162.55933
2010,Afghanistan,AFG,60.702,..,..,..,..,..,..,..,14.36244147,..,..,..,1.20311799,36.1187,..
2010,Albania,ALB,78.414,1943.343354,32.49262263,27.60992967,..,102.0788052,65.03855133,..,2.973154427,47.9226033,1.464517204,66.56160506,9.01744998,91.9299,731.0533975
2010,Algeria,DZA,74.144,1010.715195,43.28682748,34.98822961,..,98.79349354,83.93086243,..,4.800000001,28.50298638,1.167900418,..,1.293904675,90.5824,1151.138897
2010,American Samoa,ASM,72.587,..,..,63.52530541,..,..,..,..,0.299850075,94.41535777,..,..,..,..,..
2010,Andorra,AND,84.197,..,..,..,..,..,..,..,-1.974958,..,23.45580605,..,..,81.1526,..
2010,Angola,AGO,57.242,206.9987647,28.19731769,61.54311589,..,43.05819561,85.83747101,..,4.398375938,42.58051942,..,..,-3.8511115,40.3668,487.2810743
2010,Antigua and Barbuda,ATG,76.701,..,..,..,..,119.7794113,93.69638062,..,-7.840506837,..,..,..,7.218601147,196.871,..
2010,Armenia,ARM,73.17317073,1631.305833,38.81475499,19.74841532,..,96.15794775,..,9.1,2.2,44.89456066,2.324448641,27.81569758,5.716037341,131.875,815.627987
2010,Aruba,ABW,74.297,..,28.28317971,60.21818609,..,99.1608429,104.3849869,..,-2.733456793,75.24646859,4.130796618,..,7.611672202,131.65,..
2010,Austria,AUT,80.5804878,8395.38542,22.85928124,51.58398211,14.5,..,100.7295914,8,1.80898243,48.06090044,13.70537389,..,-5.645396702,146.334,4065.041896
2010,Azerbaijan,AZE,70.309,1603.431374,18.05957848,54.30472154,9.1,89.51444926,25.58293915,..,4.78883271,20.68126693,1.368551661,..,6.337255133,99.489,1305.912093
2010,"Bahamas, The",BHS,73.449,..,27.98600601,34.95328732,..,91.71002428,..,..,1.538662487,43.72231511,0.001796119,82.48908453,8.636992163,116.572,..
2010,Bahrain,BHR,78.593,18219.14251,28.59835606,66.70271504,..,..,50.38113022,..,4.334298975,48.85877141,0.110260455,..,0.581105357,129.158,10317.976
2010,Bangladesh,BGD,68.009,239.9443145,26.24665618,16.02411269,31.5,60.90816249,13.11622047,8.9,5.571788185,21.77872999,0.213025598,..,1.068967663,44.6275,195.5901166
2010,Barbados,BRB,75.488,..,..,..,..,94.93969586,78.36636353,..,-2.217710856,..,..,..,8.193447658,127.183,..
2010,Belarus,BLR,70.40487805,3566.173013,40.65636626,51.37288535,5.2,99.91695078,102.2132416,8.8,7.750017066,64.54508764,3.058112421,43.719495,2.434656004,108.873,2895.61081
2010,Belgium,BEL,80.18292683,8353.015616,22.39427446,75.82828987,..,..,119.3752289,8.6,2.710311503,74.33427375,9.265230104,..,26.05964075,111.132,5510.368422
2010,Belize,BLZ,70.875,..,15.20879876,50.72463768,..,100.3240441,42.54111862,..,1.114035787,44.30887323,0,..,5.524997255,60.6414,..
2010,Benin,BEN,58.387,86.04249826,15.60808921,23.07204807,35.2,62.59751892,17.42143059,..,2.114064726,28.35881188,..,..,0.561144748,72.2115,363.7435748
2010,Bermuda,BMU,79.414,..,13.04302674,50.79499274,..,113.2394409,50.07012939,..,-2.502878289,23.8000876,..,..,3.356840803,138.407,..
2010,Bhutan,BTN,68.765,..,62.93345252,39.38704524,..,92.37483352,2.40818572,..,11.93187384,65.62362146,0.13731061,47.58234682,4.404872013,56.1998,..
2010,Bolivia,BOL,66.003,578.1575855,17.00701846,41.18745614,..,97.47083974,47.46240997,..,4.126722591,34.32417011,8.396434267,49.37165824,3.165428676,70.5073,625.4984284
2010,Bosnia and Herzegovina,BIH,76.827,3067.843605,19.70876224,29.69554219,..,72.39858246,..,..,0.86566926,51.27267378,2.833117981,61.42998717,2.584024491,81.6019,1700.483733
2010,Botswana,BWA,59.137,1566.07288,34.70210913,42.14433151,..,..,..,..,10.11972333,52.49467057,..,..,1.728061348,116.246,1130.549924
2010,British Virgin Islands,VGB,76.289,..,..,..,..,95.08599509,..,..,..,..,..,..,..,171.722,..
2010,Brunei Darussalam,BRN,74.82,8727.302387,23.69025754,67.40825227,..,106.822058,67.1667099,..,2.741364335,27.9632938,27.02643704,22.66520134,3.50710079,110.902,8261.092769
2010,Bulgaria,BGR,73.51219512,4560.414917,22.51796856,50.09804494,..,99.79350281,80.4212265,6.3,1.555359635,53.28247738,8.404251577,..,3.635696368,137.14,2393.891423
2010,Burkina Faso,BFA,56.343,68.43261131,21.990434,20.51584886,..,45.96010979,2.79053998,..,8.446281577,28.55738968,16.58322814,..,0.38449222,35.2848,227.9390251
2010,Burundi,BDI,57.088,..,17.16038243,9.700001639,..,52.52921642,10.69071007,..,5.124159994,29.80000376,..,..,0.038411913,17.8962,..
2010,Cabo Verde,CPV,72.507,..,44.95680604,30.28382268,..,95.56885189,68.44487,..,1.83641915,55.2646272,0,..,6.368021378,72.9468,..
2010,Cambodia,KHM,67.311,157.0266206,22.31749004,50.22654285,22.1,88.20633698,12.54384041,..,5.076918432,59.77185775,0.153409396,..,10.16980719,56.2094,323.2559707
2010,Cameroon,CMR,56.965,270.4892286,18.22844404,22.3688903,..,73.58513123,25.46240044,..,2.899024721,24.8696951,..,..,1.949523867,43.9121,356.1412559
2010,Canada,CAN,81.32219512,16236.47566,23.4820047,29.16738193,..,..,..,7.3,3.090806345,31.04073957,15.50054129,..,1.837256387,75.5197,7660.754521
2010,Cayman Islands,CYM,76.069,..,..,..,..,..,..,..,-2.715635262,..,..,..,504.3724814,185.896,..
2010,Central African Republic,CAF,46.871,..,16.8437813,11.62580107,..,36.17116928,5,..,4.630818432,22.80468088,22.62927138,..,2.871289223,21.7946,..
2010,Chad,TCD,50.107,5.441591219,21.85444822,34.43835341,..,30.40010404,1.690209985,..,13.79438893,29.29281571,..,..,2.226410013,23.3526,219.1083739
2010,Channel Islands,CHI,81.2,..,..,..,..,..,..,..,-3.606632316,..,..,..,..,..,..
2010,Chile,CHL,79.095,3284.062406,24.77546766,37.90399432,..,..,108.156189,..,5.851651022,31.81368582,6.239581866,104.9983649,6.841446868,115.545,1795.68173
2010,Colombia,COL,74.876,1132.358996,21.88876227,16.34084476,..,119.8241577,..,3.3,4.494658971,17.92375841,5.362534596,66.09335106,2.244335956,99.3308,700.6967622
2010,Comoros,COM,62.747,..,18.17495088,9.638897039,..,..,..,..,4.801058168,29.91120876,..,13.86874494,0.919669135,25.2396,..
2010,"Congo, Dem. Rep.",COD,56.411,98.55164236,28.78134894,41.11115415,..,58.43947983,3.41170001,..,7.107976576,49.63645614,..,..,12.7160135,17.2401,289.7738416
2010,"Congo, Rep.",COG,61.731,134.2360089,47.19017067,68.52809153,..,67.96466064,11.47087955,..,9.931265431,55.53666287,..,..,11.57729522,83.3372,375.6199091
2010,Costa Rica,CRI,79.354,1896.855154,19.83391852,32.82941135,24.2,94.67685699,77.43859863,4.4,5.360343526,34.68267834,40.14731307,54.79243399,5.063711702,68.6655,998.6945305
2010,Cote d'Ivoire,CIV,55.282,196.3263625,21.68105453,33.49957459,..,..,..,..,6.848049399,33.97336549,4.247840128,..,1.026062392,69.3659,369.5929892
2010,Croatia,HRV,76.47560976,3922.310867,20.3661502,35.49945452,20.9,97.44796753,61.6531105,6.9,-1.334081524,37.13920235,10.18211213,..,2.619540281,114.582,2181.044011
2010,Cuba,CUB,77.876,1294.89868,10.07337396,22.57026489,..,95.66233517,101.8910065,..,2.390352297,17.72167641,..,..,..,8.87827,1000.184101
2010,Curacao,CUW,75.117,7471.268233,..,55.53953322,..,..,..,..,0.082306609,88.3926786,..,..,..,130.052,13360.00215
2010,Cyprus,CYP,80.632,4523.787568,23.68672688,50.33452585,14.8,99.31649017,79.09063721,8.6,2.282671001,58.56717342,38.20151981,..,125.2727379,123.133,2192.467489
2010,Czechia,CZE,77.42439024,6347.756103,26.73128765,64.89159802,9.8,102.0989075,102.2865601,9.4,2.714665099,61.8648821,17.87610738,..,4.815029855,123.605,4308.571184
2010,Denmark,DNK,79.1,6327.506456,17.82215511,50.59078054,..,99.30648804,99.9499588,9.3,1.582897031,43.7969477,15.46884093,..,-3.567941353,115.734,3498.022256
2010,Djibouti,DJI,60.743,..,..,..,..,..,..,..,..,..,..,..,3.234153297,17.803,..
2010,Dominica,DMA,71.68,..,..,..,..,90.10600707,103.4463882,..,-0.105610858,..,0.83741235,..,10.98870866,153.309,..
2010,Dominican Republic,DOM,72.039,1298.653028,26.07142183,22.77511862,..,92.85015639,40.53580856,4.6,8.401145412,33.2822778,2.34947428,39.6053381,3.383205136,90.5563,773.4042549
2010,Ecuador,ECU,75.188,1100.506444,23.49001587,32.48569518,32.8,101.9746699,48.03712082,4.1,4.02913788,33.29168973,8.740267497,23.4706331,0.243419054,98.0369,867.4652267
2010,"Egypt, Arab Rep.",EGY,69.078,1611.550787,19.50107741,21.34924581,..,87.13287005,28.26605988,9.4,5.147234858,26.58710426,0.953019871,..,2.916016576,79.2199,838.1667075
2010,El Salvador,SLV,70.909,873.3985702,16.6715814,26.94666933,..,98.17334221,62.39751816,5.1,2.154195367,46.59061835,7.323011478,80.64124246,-0.613406193,126.896,697.0369273
2010,Equatorial Guinea,GNQ,58.344,214.450607,38.05629949,85.7584332,..,34.75725174,..,..,-8.924175889,58.9097918,..,..,16.75815673,33.5796,1352.164835
2010,Eritrea,ERI,63.665,96.42854475,12.38540149,6.378376598,..,61.54309082,23.85301971,..,2.194190349,31.09308886,..,..,5.72501514,6.29077,248.8949565
2010,Estonia,EST,75.42926829,6506.318181,21.58767817,75.0459409,17.5,100.9882736,86.97544098,7.2,2.449750206,68.62582136,15.73465066,..,13.27703301,124.136,4419.422683
2010,Eswatini,SWZ,48.331,1339.450367,..,..,..,83.54037267,24.05818939,..,3.793755077,..,0.231421837,..,3.056264773,65.2905,835.9445239
2010,Ethiopia,ETH,59.709,42.65588013,0,..,29.6,56.02885818,4.221739769,8,12.55053835,..,4.909920323,..,0.963030625,7.57026,368.3547467
2010,Faroe Islands,FRO,80.63902439,..,19.52082475,46.72339906,..,..,..,..,-0.379817991,50.46056946,..,..,..,123.411,..
2010,Fiji,FJI,66.778,..,18.80269298,57.43440206,..,..,..,..,2.954672422,63.79350134,4.225232544,131.7328837,5.671410211,76.6592,..
2010,Finland,FIN,79.87073171,16484.84008,22.607323,38.41304937,13.7,98.99247742,67.82759857,9.2,3.168287912,37.04815915,13.14686376,..,4.899597632,156.432,6812.601995
2010,French Polynesia,PYF,81.141,..,21.1616841,16.37812867,..,..,..,..,-2.46606419,37.66575344,4.95749979,..,1.056472877,79.7879,..
2010,Gabon,GAB,64.715,896.5747009,29.70111381,57.66349238,..,..,..,..,7.089887315,31.49417035,25.275426,..,3.645404176,93.6112,2957.467414
2010,"Gambia, The",GMB,61.167,..,13.87671053,14.66781488,48.1,61.21664047,28.96105957,5.7,5.90833581,26.34470015,..,..,2.406596896,76.7323,..
2010,Georgia,GEO,71.732,2049.544524,20.9291494,32.4674667,37.3,113.6139357,..,5.7,6.246408653,49.20592036,2.033272772,33.25129943,7.410659314,102.113,824.6050831
2010,Ghana,GHA,61.297,272.1884734,13.10019371,29.47671798,..,..,..,..,7.899711941,45.90109781,2.401205223,..,7.849484553,68.4473,296.0995898
2010,Gibraltar,GIB,82.08,5504.352279,..,..,..,..,..,..,..,..,..,..,..,96.0061,5535.464617
2010,Greece,GRC,80.38780488,5334.608479,18.21575876,21.72883298,21.4,98.14170074,74.79091644,6.7,-5.693741216,29.19368433,11.59565585,..,0.179789223,110.5,2487.529189
2010,Greenland,GRL,70.08073171,..,52.35331723,34.05597386,..,..,..,..,1.735825059,76.41639437,47.27187626,..,..,101.298,..
2010,Grenada,GRD,74.731,..,..,..,..,119.3565369,111.8016281,..,-0.511146187,..,2.027000726,..,7.218296426,109.284,..
2010,Guam,GUM,76.095,..,..,17.0943625,..,..,..,..,2.263251936,54.940392,..,..,..,..,..
2010,Guatemala,GTM,69.885,546.8233625,14.16419369,26.22546433,..,83.73406922,69.07382202,..,2.884175428,36.89972824,6.336759982,37.14068722,2.710307068,124.606,714.0745324
2010,Guinea,GIN,56.431,..,20.32540116,30.34120702,..,56.14817047,12.48851967,..,4.81336017,43.20536692,..,..,..,38.476,..
2010,Guinea-Bissau,GNB,56.999,..,19.49361491,12.6394157,48.7,62.64344025,6.692689896,4.5,5.605363114,30.87517194,..,..,2.791176472,43.2449,..
2010,Guyana,GUY,66.204,..,..,..,..,95.38601582,82.56613159,..,4.138441601,..,0.189114951,32.22653926,5.767697226,74.7938,..
2010,Haiti,HTI,45.577,59.97983943,24.98821766,8.570288158,..,..,..,..,-5.651511534,36.15123597,..,..,1.500930148,40.8026,388.9955223
2010,Honduras,HND,69.77,646.6745033,21.87984069,45.7589062,..,86.44717985,39.57738876,3.1,3.731140344,63.68293204,2.631471127,49.55499764,3.834605747,113.617,561.8185075
2010,"Hong Kong SAR, China",HKG,82.95756098,6398.166339,23.89046642,205.3225974,..,101.7162791,..,..,6.767665817,199.4479636,36.7951856,..,36.17460836,194.234,1922.62412
2010,Hungary,HUN,74.20731707,3876.491084,21.18927912,81.25350355,14.1,99.93312073,85.1620636,8.2,1.067950682,76.58545654,25.92269786,..,-15.88543803,120.369,2651.343381
2010,Iceland,ISL,81.89756098,51439.90869,13.90913168,51.74623384,9.2,99.10262299,96.34192657,9.5,-2.832774923,41.90016434,21.15662661,..,1.868803547,107.204,17024.51309
2010,"Iran, Islamic Rep.",IRN,74.39,2534.265902,40.26244925,24.39965328,..,96.35450745,40.15608978,..,5.797938296,19.37099045,..,..,0.749168626,69.8155,2639.091042
2010,Iraq,IRQ,68.092,1185.104405,15.86786539,39.41682921,..,..,..,..,6.402564845,34.08065041,..,..,1.00796494,74.9368,1064.171521
2010,Ireland,IRL,80.74390244,5870.853074,17.271665,103.2094204,..,..,..,7.6,1.682972271,86.65441733,22.91458419,..,17.00491006,103.123,3149.89842
2010,Isle of Man,IMN,79.613,..,..,..,..,..,..,..,3.399998424,..,..,..,..,..,..
2010,Israel,ISR,81.60243902,6953.276667,21.53835088,33.52837758,..,95.95388031,98.31787872,4.8,5.534340339,32.10470229,19.37536116,..,2.91418895,124.183,3043.565176
2010,Jamaica,JAM,71.979,1204.627282,20.20652665,31.33526663,17.6,89.29159498,..,..,-1.457147209,49.58513369,2.970409874,..,1.405203504,115.769,875.1006769
2010,Jordan,JOR,73.797,1836.497332,35.03763119,46.99714264,..,..,27.15414047,8.2,2.314834221,67.22553505,2.862053244,..,6.22247567,90.7217,973.4132195
2010,Kazakhstan,KAZ,68.257,4583.409803,25.37354902,44.2441795,..,97.23217941,34.45000076,9.5,7.300000003,29.8940864,35.35820432,..,5.036306283,115.239,4105.701894
2010,Kenya,KEN,60.915,146.3992738,21.2639988,20.12435965,..,..,..,..,8.058473603,30.2699277,6.717618969,..,0.392164287,60.0234,469.5958212
2010,Kiribati,KIR,65.859,..,15.91630816,11.56628376,..,..,..,..,1.225951989,74.13098195,..,..,-3.990410608,9.74665,..
2010,"Korea, Dem. People's Rep.",PRK,70.246,798.5670136,..,..,..,..,..,..,..,..,..,..,..,1.72856,752.3658868
2010,Kosovo,XKX,74.609,2630.338735,33.12848705,21.66916812,..,..,..,7.8,4.93995096,60.50831185,..,18.93278755,9.170158874,31.4187,1394.780022
2010,Kuwait,KWT,77.72621951,17194.90435,17.65847417,66.67351127,..,101.2016288,83.99726105,..,-2.370548047,30.35451039,3.109997011,..,1.130367304,135.19,11311.93659
2010,Kyrgyz Republic,KGZ,69.3,1366.914094,27.4015936,51.55432268,33.7,94.92286416,18.79608917,8.7,-0.471566597,81.67852782,1.230755438,..,9.86092234,96.0617,503.6155771
2010,Lao PDR,LAO,63.69,385.5265563,27.46248774,35.38402604,..,82.99120331,20.05768967,..,8.526905517,49.33631185,6.325823547,..,3.909350182,63.2029,425.3694773
2010,Latvia,LVA,73.48292683,3230.427808,20.93134511,54.36545551,19,102.1927567,85.87985992,6.2,-3.661258596,56.49689836,8.456784496,..,2.023934814,109.928,2149.363128
2010,Lebanon,LBN,77.529,2994.076117,24.93725851,35.02312287,..,77.48121304,..,..,7.975135558,60.07353008,24.11672345,..,11.13279363,56.8042,1272.704426
2010,Lesotho,LSO,46.045,..,31.30119004,42.12625893,..,81.20207214,36.69504166,..,5.269670781,107.9761766,..,..,0.425490583,49.4651,..
2010,Liberia,LBR,59.358,..,..,..,..,..,..,..,6.09982524,..,..,..,103.3373871,38.7128,..
2010,Libya,LBY,72.196,3206.450637,19.80079923,66.27200717,..,..,..,..,5.027247672,31.8052059,..,..,2.366649607,167.748,3131.506083
2010,Liechtenstein,LIE,81.84146341,..,..,..,..,111.053978,103.7447968,..,..,..,..,..,587.8386157,98.6139,..
2010,Lithuania,LTU,73.26829268,3470.78503,17.85780102,64.79851345,19.2,99.36398315,78.80806732,6.5,0.427199567,66.82799395,11.24699415,..,3.009695612,157.89,2276.517761
2010,Luxembourg,LUX,80.63170732,16808.26428,18.08319349,162.7098571,..,87.86225891,89.17076111,8.2,3.760414543,130.9620198,8.778662377,..,69.60639434,143.277,8335.835007
2010,"Macao SAR, China",MAC,82.27317073,..,13.24663602,87.4228419,..,98.05333852,89.20522308,..,25.12278818,32.5172458,0,..,12.85071979,199.405,..
2010,Madagascar,MDG,62.597,51.07436482,27.02738973,21.87438052,71.7,64.84639354,8.511380196,6.1,0.619239745,36.00051399,3.325867482,..,9.138671338,34.7636,255.4867931
2010,Malawi,MWI,57.787,..,..,..,50.7,65.86068614,..,5.5,6.874065854,..,1.977050199,..,0.957814621,21.0257,..
2010,Malaysia,MYS,75.376,4080.747979,23.3865411,86.93029507,..,98.85214996,79.14285278,..,7.424847383,71.01446982,49.60909589,..,4.268646639,118.157,2529.591689
2010,Maldives,MDV,76.756,..,..,..,..,111.5507339,49.57408142,..,6.785467909,..,..,76.87806919,8.363764331,137.018,..
2010,Mali,MLI,55.993,..,25.84821028,18.50635004,..,54.42434708,3.184689999,..,6.921721886,28.51331354,4.483153207,..,2.818410873,46.6622,..
2010,Malta,MLT,81.39756098,4692.309919,21.86394448,89.6242475,15.6,102.0431595,113.4879379,8.4,6.197345169,88.60850603,47.17116519,..,101.6263957,107.791,2022.688949
2010,Marshall Islands,MHL,64.498,..,42.52520174,36.09267536,..,..,..,..,5.5391868,108.7122905,..,..,-5.807990771,..,..
2010,Mauritania,MRT,65.661,..,32.25108313,45.73934811,..,..,..,..,2.620229481,47.68139702,..,..,2.318905677,81.8661,..
2010,Mauritius,MUS,72.96731707,1995.361484,27.10508285,51.23767279,..,99.87562834,104.714241,..,4.377203223,62.21940076,0.693280226,..,4.297840296,92.8426,1050.757672
2010,"Micronesia, Fed. Sts.",FSM,64.892,..,..,23.69035115,..,..,..,..,2.259389956,82.123302,..,..,..,25.5886,..
2010,Moldova,MDA,69.876,1918.351119,23.85178659,27.82961306,..,91.97970061,..,8.1,7.100000107,60.10823883,9.704815699,30.2755241,4.258792127,70.2257,1302.533786
2010,Monaco,MCO,84.644,..,..,..,..,..,..,..,2.065219627,..,..,..,..,70.6028,..
2010,Mongolia,MNG,68.50560976,1478.480783,42.08695429,46.67898258,38.8,..,73.92865753,7.8,6.365161679,56.67104907,..,..,23.52633655,92.9208,1411.626692
2010,Montenegro,MNE,75.9902439,5419.51607,21.76993303,37.04440512,6.6,..,31.3758297,8.7,2.734331082,62.73592121,10.34142863,..,18.30213265,185.101,1820.452494
2010,Morocco,MAR,70.821,732.9900598,31.49071664,29.78894868,..,82.18330539,54.5186615,..,3.499557094,39.75303093,..,110.3933697,1.229982458,98.507,526.0985283
2010,Mozambique,MOZ,55.04,466.1459392,23.19552126,29.36823274,..,59.27447914,..,..,6.679729357,44.46912053,..,..,11.02755614,31.4105,317.8812307
2010,Myanmar,MMR,63.479,128.7522605,..,..,42.2,93.73789978,7.646009922,..,9.634439452,..,0.002681273,..,1.818972023,1.21164,278.4834538
2010,Namibia,NAM,56.093,1596.351522,23.77999896,48.28195448,..,90.18121338,8.395159721,..,6.03924948,59.7905227,1.974194072,..,2.515253267,92.4288,653.1265746
2010,Nauru,NRU,60.074,..,..,51.98360136,..,..,..,..,-0.159976911,48.27048698,..,..,..,61.7345,..
2010,Nepal,NPL,66.772,101.3095188,38.27120645,9.582536172,25.2,..,75.24660492,8.3,4.816414647,36.4023696,0.686184565,..,0.548294666,33.6317,373.4421813
2010,New Caledonia,NCL,75.992,..,42.44388211,20.19947492,..,..,..,..,..,47.96900748,0.895989489,..,15.3677037,84.4137,..
2010,New Zealand,NZL,80.90487805,9629.944607,20.37565733,30.19729613,..,..,105.6563416,..,1.458636349,27.90744447,9.715339907,..,0.194915237,108.331,4147.306161
2010,Nicaragua,NIC,71.761,468.3265214,24.83986814,40.46711516,..,82.80934143,55.59502029,..,4.410099117,59.89694327,5.374718601,50.2579472,5.593358243,69.0594,529.0082033
2010,Niger,NER,57.08,43.99101206,32.64046052,16.1844146,..,38.95346309,3.966909885,..,8.578166743,35.7615717,8.046533368,..,10.14668992,22.1685,134.7459912
2010,Nigeria,NGA,51.315,140.7560836,..,..,..,70.16490936,41.8311882,7.1,8.005655916,..,1.090051581,..,1.642073692,52.3861,334.6695634
2010,North Macedonia,MKD,74.99756098,3802.603712,24.46809484,39.78975339,26.8,..,24.20689964,3.8,3.358750858,58.09131572,3.556667794,..,3.204382098,104.968,1475.242775
2010,Northern Mariana Islands,MNP,77.8,..,..,41.92740926,..,..,..,..,1.395939086,50.68836045,..,..,..,..,..
2010,Norway,NOR,80.99756098,24876.19783,24.98868675,40.15032907,10.5,99.73426819,98.81916046,9.5,0.787051861,28.08919029,20.3684827,125.4075555,5.018943988,114.524,6455.316685
2010,Oman,OMN,77.184,6089.693144,29.38655462,59.09563826,..,..,..,..,2.471998566,37.29091637,..,..,1.911964786,151.446,6736.894127
2010,Pakistan,PAK,64.378,398.2050767,15.96155243,12.63722456,36.8,53.50736906,..,9.9,1.501717522,19.35177749,1.728058242,..,1.027911081,49.7823,429.2901505
2010,Palau,PLW,68.347,..,29.31925348,54.14820196,..,..,..,..,-0.89589586,84.81471699,..,..,1.426998329,78.8867,..
2010,Panama,PAN,76.417,1745.883669,37.34120258,70.02524213,29.8,95.21585217,64.82794189,3.3,6.073393531,75.42347668,0.826039249,78.28079581,8.432070388,183.169,948.3048377
2010,Papua New Guinea,PNG,63.056,..,..,..,..,..,..,..,10.12845407,..,..,23.70087193,0.249749809,25.0091,..
2010,Paraguay,PRY,72.551,1275.537991,23.83495844,42.13984163,39,99.70025238,38.91577148,3.8,11.09523127,39.11768175,8.629776136,..,2.681207122,103.187,845.8134559
2010,Peru,PER,72.886,1105.13577,23.76050904,27.82616415,30.8,104.4801178,78.86466217,4.3,8.332459107,23.84664478,8.620899037,18.86886517,5.730877328,100.1,603.4554325
2010,Philippines,PHL,68.883,622.210804,20.44177114,32.87482972,..,..,..,..,7.33449996,33.22944879,..,..,0.51369805,86.3116,431.460692
2010,Poland,POL,76.24634146,3797.092296,20.85866889,39.89220685,17.7,97.25617981,69.07933807,7.3,3.168927483,42.33364548,7.719089568,..,3.944894621,123.249,2642.068812
2010,Portugal,PRT,79.02682927,4959.094305,21.19945268,30.02758512,18,..,87.44342804,7,1.737624528,37.66165507,4.073106181,..,3.773768196,115.425,2222.628335
2010,Puerto Rico (US),PRI,78.717,..,9.160379056,62.67166626,..,..,99.12136078,..,-0.413254119,41.48156204,..,..,..,78.9803,..
